,CustomerID,LoanType,Channel,RecoveryAmount,RecoveryDate
0,1001,Personal,Digital,4446.196819902914,2025-09-21
1,1002,Business,Digital,16335.991768978782,2025-09-12
2,1003,Car,Digital,8656.280475728203,2025-09-22
3,1004,Home,Manual,7527.7011884457115,2025-09-27
4,1005,Personal,Digital,6962.307728366923,2025-09-21
5,1006,Personal,Manual,4345.738758737844,2025-09-15
6,1007,Personal,Digital,4274.9786150614855,2025-09-25
7,1008,Car,Manual,7209.30573624982,2025-09-18
8,1009,Home,Manual,8464.254626093942,2025-09-10
9,1010,Car,Manual,6201.915988762207,2025-09-22
10,1011,Personal,Manual,4014.866106945505,2025-09-12
11,1012,Business,Manual,12519.91448176212,2025-09-20
12,1013,Car,Manual,7168.796438882285,2025-09-19
13,1014,Personal,Digital,4963.698597105813,2025-09-28
14,1015,Personal,Digital,3813.3482078207544,2025-09-05
15,1016,Personal,Digital,5801.060124215933,2025-09-18
16,1017,Personal,Digital,4044.417648976245,2025-09-19
17,1018,Home,Digital,9346.739827324742,2025-09-23
18,1019,Home,Digital,11692.606204977315,2025-09-12
19,1020,Personal,Digital,4053.660100789788,2025-09-01
20,1021,Home,Digital,8183.55514307251,2025-09-02
21,1022,Personal,Digital,5872.861484961496,2025-09-03
22,1023,Personal,Manual,4135.363884622644,2025-09-26
23,1024,Personal,Digital,5032.344878861883,2025-09-29
24,1025,Home,Manual,8622.59952797976,2025-09-30
25,1026,Car,Digital,7581.669939018727,2025-09-12
26,1027,Personal,Manual,3596.736909716318,2025-09-14
27,1028,Home,Manual,10771.337849478918,2025-09-07
28,1029,Home,Manual,7228.5234236287215,2025-09-04
29,1030,Personal,Manual,5033.849900012548,2025-09-12
30,1031,Home,Digital,11142.121003876584,2025-09-24
31,1032,Personal,Manual,3588.4178869999464,2025-09-08
32,1033,Personal,Manual,3271.5186656666183,2025-09-01
33,1034,Business,Manual,14720.609057004187,2025-09-05
34,1035,Business,Manual,12310.967095179942,2025-09-01
35,1036,Car,Digital,6743.336059249433,2025-09-15
36,1037,Personal,Manual,5564.770754951695,2025-09-13
37,1038,Personal,Digital,5284.7412335390245,2025-09-29
38,1039,Home,Digital,8702.856332370895,2025-09-23
39,1040,Home,Digital,12247.059144553514,2025-09-13
40,1041,Personal,Manual,3863.9870894640408,2025-09-04
41,1042,Home,Digital,10097.242710093582,2025-09-15
42,1043,Personal,Digital,5505.784252326365,2025-09-12
43,1044,Business,Digital,16375.076797004072,2025-09-08
44,1045,Personal,Manual,6853.325149549761,2025-09-16
45,1046,Home,Manual,7007.918220713164,2025-09-12
46,1047,Personal,Digital,6075.952208925946,2025-09-24
47,1048,Home,Digital,11243.009694050077,2025-09-25
48,1049,Home,Manual,8835.40210695106,2025-09-27
49,1050,Personal,Manual,5444.728433779467,2025-09-06
50,1051,Business,Manual,14621.128821163857,2025-09-23
51,1052,Car,Digital,5968.037215012995,2025-09-15
52,1053,Business,Manual,15599.719807056996,2025-09-07
53,1054,Car,Digital,5791.237746861858,2025-09-05
54,1055,Home,Digital,9364.683718761227,2025-09-23
55,1056,Business,Digital,15488.212326375904,2025-09-15
56,1057,Personal,Digital,7174.940513187056,2025-09-25
57,1058,Personal,Manual,4130.092044295936,2025-09-28
58,1059,Personal,Digital,5218.066109949189,2025-09-30
59,1060,Personal,Digital,6682.078603904563,2025-09-12
60,1061,Personal,Digital,4949.681857434527,2025-09-11
61,1062,Personal,Digital,4071.5632870693244,2025-09-04
62,1063,Car,Digital,6932.765164761686,2025-09-13
63,1064,Personal,Digital,6620.791833805777,2025-09-18
64,1065,Personal,Digital,5320.864997055137,2025-09-08
65,1066,Home,Manual,11316.789910867512,2025-09-07
66,1067,Personal,Manual,5385.5219115145865,2025-09-22
67,1068,Car,Manual,5526.22927632782,2025-09-23
68,1069,Personal,Digital,5301.0763044650785,2025-09-28
69,1070,Business,Manual,12476.138258229745,2025-09-16
70,1071,Car,Manual,5497.880363221476,2025-09-03
71,1072,Personal,Manual,9874.90110123091,2025-09-22
72,1073,Personal,Manual,5722.349412040573,2025-09-26
73,1074,Car,Digital,8211.097989006674,2025-09-30
74,1075,Car,Manual,5552.183621630324,2025-09-16
75,1076,Car,Digital,8919.584066281079,2025-09-16
76,1077,Car,Digital,8449.415601792936,2025-09-07
77,1078,Personal,Digital,7131.62128935777,2025-09-23
78,1079,Personal,Digital,7083.114148398449,2025-09-13
79,1080,Personal,Manual,2725.0928542829733,2025-09-13
80,1081,Car,Digital,6240.160510730093,2025-09-21
81,1082,Home,Digital,9496.212184536364,2025-09-19
82,1083,Personal,Manual,3367.2712280010755,2025-09-18
83,1084,Personal,Digital,5573.452364260391,2025-09-29
84,1085,Personal,Digital,4683.196547904183,2025-09-07
85,1086,Personal,Manual,6987.118248915022,2025-09-20
86,1087,Car,Manual,8585.615858497966,2025-09-18
87,1088,Home,Digital,10493.538405920961,2025-09-29
88,1089,Car,Manual,8646.391459379749,2025-09-24
89,1090,Home,Digital,11988.134627240202,2025-09-18
90,1091,Personal,Digital,4799.293440822741,2025-09-22
91,1092,Car,Digital,5340.7846559744385,2025-09-04
92,1093,Car,Digital,7132.031615039271,2025-09-09
93,1094,Home,Manual,8226.453442705832,2025-09-21
94,1095,Car,Manual,6547.8067501749965,2025-09-16
95,1096,Home,Digital,10589.22828687475,2025-09-04
