CustomerID,CallsMade,PaymentStatus,RecoveryAmount,DueDate,PaymentDate
1001,6,1,5615.680780174198,2025-09-07,2025-09-12
1002,3,0,0.0,2025-09-07,2025-09-09
1003,10,1,6852.543511501637,2025-09-07,2025-09-14
1004,7,1,5520.647894305378,2025-09-07,2025-09-15
1005,4,1,7123.9236741615305,2025-09-07,2025-09-16
1006,6,1,6374.588277526009,2025-09-07,2025-09-12
1007,9,1,6132.311717185254,2025-09-07,2025-09-13
1008,2,1,4243.698567825182,2025-09-07,2025-09-09
1009,6,1,4933.112631201031,2025-09-07,2025-09-13
1010,10,1,8811.55471925233,2025-09-07,2025-09-12
1011,10,1,6826.488155804884,2025-09-07,2025-09-19
1012,7,1,6000.478909821752,2025-09-07,2025-09-14
1013,4,0,0.0,2025-09-07,2025-09-16
1014,3,0,0.0,2025-09-07,2025-09-09
1015,7,1,6186.756185468299,2025-09-07,2025-09-09
1016,7,1,5769.790213863178,2025-09-07,2025-09-12
1017,2,1,5292.9895069214235,2025-09-07,2025-09-07
1018,5,1,6034.928403604969,2025-09-07,2025-09-16
1019,4,1,5815.003532142187,2025-09-07,2025-09-09
1020,1,1,3937.4022013235453,2025-09-07,2025-09-07
1021,7,1,7292.430980048193,2025-09-07,2025-09-11
1022,5,1,5447.040566859433,2025-09-07,2025-09-15
1023,1,1,4541.336652789187,2025-09-07,2025-09-08
1024,4,1,5096.173983467457,2025-09-07,2025-09-14
1025,0,0,0.0,2025-09-07,2025-09-07
1026,9,1,5747.528306868902,2025-09-07,2025-09-13
1027,5,0,0.0,2025-09-07,2025-09-12
1028,8,1,6867.797665287312,2025-09-07,2025-09-15
1029,0,0,0.0,2025-09-07,2025-09-08
1030,10,1,7894.9819723400005,2025-09-07,2025-09-21
1031,10,1,6277.010781366187,2025-09-07,2025-09-19
1032,9,1,4956.8742146182285,2025-09-07,2025-09-14
1033,2,0,0.0,2025-09-07,2025-09-10
1034,6,1,5172.8854023915765,2025-09-07,2025-09-13
1035,3,0,0.0,2025-09-07,2025-09-11
1036,8,1,6151.714050705948,2025-09-07,2025-09-14
1037,2,1,4168.564688568747,2025-09-07,2025-09-11
1038,4,1,5201.268310997929,2025-09-07,2025-09-10
1039,2,0,0.0,2025-09-07,2025-09-07
1040,6,1,5648.473175719266,2025-09-07,2025-09-16
1041,4,0,0.0,2025-09-07,2025-09-14
1042,8,1,6584.509977883073,2025-09-07,2025-09-20
1043,6,1,4745.045533747709,2025-09-07,2025-09-09
1044,1,1,5780.113372992306,2025-09-07,2025-09-09
1045,3,0,0.0,2025-09-07,2025-09-11
1046,8,1,8260.93881869979,2025-09-07,2025-09-12
1047,1,0,0.0,2025-09-07,2025-09-07
1048,9,1,8229.1172054801,2025-09-07,2025-09-17
1049,8,1,6015.9558527017425,2025-09-07,2025-09-18
1050,9,1,7468.655161158359,2025-09-07,2025-09-19
1051,4,1,6350.253805902011,2025-09-07,2025-09-13
1052,1,0,0.0,2025-09-07,2025-09-11
1053,3,0,0.0,2025-09-07,2025-09-10
1054,6,1,6156.474837070769,2025-09-07,2025-09-16
1055,7,1,6577.005641175124,2025-09-07,2025-09-13
1056,2,0,0.0,2025-09-07,2025-09-08
1057,0,0,0.0,2025-09-07,2025-09-06
1058,3,1,6283.043796859044,2025-09-07,2025-09-09
1059,1,1,6083.3758043734415,2025-09-07,2025-09-10
1060,7,1,5588.327736598273,2025-09-07,2025-09-14
1061,3,1,6347.691389982683,2025-09-07,2025-09-07
1062,1,0,0.0,2025-09-07,2025-09-11
1063,5,1,7666.462523485446,2025-09-07,2025-09-10
1064,5,1,6882.18164201754,2025-09-07,2025-09-15
1065,9,1,8336.46291528986,2025-09-07,2025-09-13
1066,3,1,3016.4806431549655,2025-09-07,2025-09-09
1067,5,1,6595.709062628094,2025-09-07,2025-09-16
1068,1,1,5464.251269908205,2025-09-07,2025-09-08
1069,9,1,7827.084697223566,2025-09-07,2025-09-17
1070,1,1,4074.373842421598,2025-09-07,2025-09-11
1071,9,1,6293.858908228282,2025-09-07,2025-09-16
1072,3,0,0.0,2025-09-07,2025-09-08
1073,7,1,7300.536732980649,2025-09-07,2025-09-13
1074,6,1,5140.331442542169,2025-09-07,2025-09-16
1075,8,0,0.0,2025-09-07,2025-09-16
1076,7,1,6642.314257451381,2025-09-07,2025-09-16
1077,4,1,5783.061417094451,2025-09-07,2025-09-16
1078,1,1,5004.069333133986,2025-09-07,2025-09-07
1079,4,1,6372.69864209689,2025-09-07,2025-09-14
1080,7,1,5284.499212620633,2025-09-07,2025-09-16
1081,9,1,6019.883218369874,2025-09-07,2025-09-18
1082,8,1,6460.75120455304,2025-09-07,2025-09-19
1083,8,1,5398.817634829085,2025-09-07,2025-09-16
1084,0,0,0.0,2025-09-07,2025-09-06
1085,8,1,7830.921802333042,2025-09-07,2025-09-15
1086,6,1,5401.232862569957,2025-09-07,2025-09-15
1087,8,1,7386.329600040894,2025-09-07,2025-09-19
1088,7,1,5524.496693052684,2025-09-07,2025-09-12
1089,0,0,0.0,2025-09-07,2025-09-06
1090,7,1,7104.197206142751,2025-09-07,2025-09-09
1091,7,1,4791.1513255531045,2025-09-07,2025-09-09
1092,10,1,8408.615401044508,2025-09-07,2025-09-14
1093,2,1,6535.133005106634,2025-09-07,2025-09-10
1094,0,0,0.0,2025-09-07,2025-09-08
1095,7,1,5847.416491877448,2025-09-07,2025-09-13
